0: move > for 31 steps - start_point=(50, 0) then L
1: move ^ for 16 steps - start_point=(58, 0) then R
2: move V for 40 steps - start_point=(15, 158) then L
3: move > for 45 steps - start_point=(15, 168) then R
4: move V for 27 steps - start_point=(24, 168) then L
5: move > for 46 steps - start_point=(24, 177) then R
6: move V for 17 steps - start_point=(32, 177) then L
7: move > for 20 steps - start_point=(32, 189) then R
8: move V for 1 steps - start_point=(32, 189) then R
9: move < for 41 steps - start_point=(32, 189) then L
10: move V for 18 steps - start_point=(29, 189) then L
11: move > for 33 steps - start_point=(29, 198) then R
12: move V for 17 steps - start_point=(34, 198) then L
13: move > for 19 steps - start_point=(134, 10) then R
14: move V for 46 steps - start_point=(134, 10) then L
15: move > for 27 steps - start_point=(134, 10) then R
16: move V for 7 steps - start_point=(134, 10) then L
17: move > for 28 steps - start_point=(134, 10) then R
18: move V for 31 steps - start_point=(134, 10) then R
19: move < for 1 steps - start_point=(134, 10) then L
20: move V for 17 steps - start_point=(133, 10) then R
21: move < for 28 steps - start_point=(133, 27) then R
22: move ^ for 27 steps - start_point=(127, 27) then L
23: move < for 49 steps - start_point=(127, 14) then R
24: move ^ for 24 steps - start_point=(119, 14) then R
25: move > for 32 steps - start_point=(19, 196) then L
26: move ^ for 10 steps - start_point=(25, 196) then R
27: move > for 30 steps - start_point=(25, 194) then L
28: move ^ for 1 steps - start_point=(26, 194) then R
29: move > for 32 steps - start_point=(26, 193) then L
30: move < for 48 steps - start_point=(93, 141) then R
31: move ^ for 16 steps - start_point=(89, 141) then R
32: move > for 14 steps - start_point=(89, 141) then R
33: move ^ for 20 steps - start_point=(146, 8) then R
34: move > for 17 steps - start_point=(146, 1) then L
35: move V for 18 steps - start_point=(86, 148) then L
36: move > for 29 steps - start_point=(86, 148) then R
37: move ^ for 4 steps - start_point=(143, 1) then L
38: move < for 14 steps - start_point=(43, 199) then R
39: move ^ for 36 steps - start_point=(31, 199) then R
40: move > for 12 steps - start_point=(31, 198) then R
41: move V for 36 steps - start_point=(34, 198) then R
42: move < for 28 steps - start_point=(134, 10) then L
43: move V for 6 steps - start_point=(117, 10) then L
44: move > for 45 steps - start_point=(117, 11) then L
45: move ^ for 17 steps - start_point=(119, 11) then L
46: move < for 35 steps - start_point=(19, 196) then R
47: move ^ for 50 steps - start_point=(13, 196) then R
48: move > for 49 steps - start_point=(13, 190) then R
49: move V for 8 steps - start_point=(27, 190) then L
50: move > for 10 steps - start_point=(27, 193) then R
51: move V for 25 steps - start_point=(37, 193) then L
52: move > for 32 steps - start_point=(37, 194) then R
53: move V for 6 steps - start_point=(45, 194) then L
54: move > for 39 steps - start_point=(45, 197) then R
55: move > for 49 steps - start_point=(97, 146) then R
56: move ^ for 27 steps - start_point=(141, 3) then R
57: move > for 5 steps - start_point=(141, 1) then L
58: move ^ for 26 steps - start_point=(141, 1) then L
59: move < for 43 steps - start_point=(141, 1) then R
60: move ^ for 37 steps - start_point=(129, 1) then L
61: move < for 22 steps - start_point=(129, 0) then L
62: move V for 22 steps - start_point=(126, 0) then R
63: move < for 13 steps - start_point=(126, 5) then L
64: move V for 19 steps - start_point=(122, 5) then L
65: move > for 44 steps - start_point=(122, 5) then L
66: move ^ for 8 steps - start_point=(137, 5) then L
67: move < for 20 steps - start_point=(137, 4) then R
68: move ^ for 50 steps - start_point=(117, 4) then R
69: move > for 44 steps - start_point=(17, 185) then L
70: move ^ for 16 steps - start_point=(26, 185) then R
71: move > for 48 steps - start_point=(26, 185) then L
72: move ^ for 17 steps - start_point=(26, 185) then L
73: move < for 47 steps - start_point=(26, 185) then L
74: move V for 26 steps - start_point=(4, 185) then R
75: move < for 1 steps - start_point=(4, 191) then R
76: move ^ for 11 steps - start_point=(3, 191) then R
77: move > for 33 steps - start_point=(3, 187) then L
78: move ^ for 1 steps - start_point=(20, 187) then R
79: move > for 14 steps - start_point=(20, 186) then L
80: move ^ for 29 steps - start_point=(20, 186) then L
81: move < for 10 steps - start_point=(20, 180) then R
82: move ^ for 48 steps - start_point=(16, 180) then L
83: move < for 41 steps - start_point=(16, 171) then R
84: move ^ for 10 steps - start_point=(2, 171) then R
85: move > for 26 steps - start_point=(2, 170) then L
86: move ^ for 50 steps - start_point=(8, 170) then L
87: move < for 23 steps - start_point=(8, 162) then R
